"(1, 3)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(6, 6)","{'down': -0.1929032215527615, 'right': -0.19296169082327946, 'up': -0.19399944797803162, 'left': -0.19057073731109242}"
"(3, 0)","{'down': -0.3762555838387349, 'right': -0.376206008203931, 'up': -0.3578024308625093, 'left': -0.38662773126479943}"
"(5, 4)","{'down': -0.1594627581840852, 'right': -0.13970773246354293, 'up': 15.064801316767783, 'left': -0.16682743007199985}"
"(2, 1)","{'down': 0.7457417992917802, 'right': -0.37501334820666193, 'up': -0.376846451448855, 'left': -0.36633668048216533}"
"(5, 6)","{'down': -0.19388861874212937, 'right': -0.20023851722951952, 'up': -0.18827833011365452, 'left': -0.2115334881674494}"
"(2, 6)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(1, 6)","{'down': -0.4604298522618102, 'right': -0.4605303278495492, 'up': -0.4605678184370655, 'left': -0.46263070792351635}"
"(5, 1)","{'down': 0.031131713826993777, 'right': 43.09999998590439, 'up': 0.024581496239695105, 'left': 0.024725018141044088}"
"(2, 5)","{'down': -0.2713520266047331, 'right': -0.24810277170460743, 'up': -0.29065662015727434, 'left': -0.26556063049834455}"
"(0, 3)","{'down': -0.4356384564398168, 'right': -0.42638225968751425, 'up': 2.9077856693205706, 'left': -0.42629668601983683}"
"(4, 0)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(1, 2)","{'down': -0.3861763718824966, 'right': 5.285278644480812, 'up': -0.3937165091336976, 'left': -0.40160276349901125}"
"(3, 3)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(2, 0)","{'down': -0.38318737367838823, 'right': -0.37646681839324986, 'up': -0.37656998586860607, 'left': -0.38108733616202656}"
"(4, 4)","{'down': -0.1715957720600365, 'right': -0.17442975369715802, 'up': 17.358382186877012, 'left': -0.18776545736730588}"
"(6, 3)","{'down': -0.09515219678893924, 'right': -0.14560039496499771, 'up': -0.14572306581337838, 'left': 1.8623708889562405}"
"(1, 5)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(3, 6)","{'down': -0.23451825195816847, 'right': -0.2120271798787562, 'up': -0.21555758503322092, 'left': -0.2260223905400918}"
"(2, 2)","{'down': 6.792065652995311, 'right': -0.3610727695994959, 'up': -0.3554059555912823, 'left': -0.3561206506890653}"
"(5, 3)","{'down': -0.07077774516549666, 'right': -0.09233646639528739, 'up': 27.403997017440823, 'left': -0.09565186520941718}"
"(4, 1)","{'down': -0.058298972773970364, 'right': 18.690956786904703, 'up': -0.0444515370908403, 'left': -0.044499991744831095}"
"(1, 1)","{'down': -0.37793902298102533, 'right': -0.19658014628709736, 'up': -0.3859670296016494, 'left': -0.3977241571715805}"
"(6, 4)","{'down': -0.12083793794315231, 'right': -0.1461765484321576, 'up': -0.1462973313111003, 'left': -0.14764701672029007}"
"(3, 2)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(0, 0)","{'down': -0.4095950132153154, 'right': -0.3940261664228951, 'up': -0.3941349697020849, 'left': -0.3942708069982378}"
"(5, 0)","{'down': 0.0246536330864337, 'right': 0.1, 'up': 0.1, 'left': 0.1}"
"(4, 5)","{'down': -0.22571386323100034, 'right': -0.18329702946650106, 'up': -0.185780266622954, 'left': -0.18042869251570406}"
"(0, 4)","{'down': -0.4402840139805812, 'right': -0.4417823118092279, 'up': 1.905494541936132, 'left': -0.44156649515643537}"
"(5, 5)","{'down': -0.20171449961729443, 'right': -0.16087342710894137, 'up': 2.5653391860681136, 'left': -0.19085652473679415}"
"(1, 4)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(6, 0)","{'down': 30, 'right': 30, 'up': 30, 'left': 30}"
"(2, 3)","{'down': 8.637036184478182, 'right': -0.33195765469963157, 'up': -0.35785346064343837, 'left': -0.330527495724}"
"(4, 2)","{'down': -0.058973163923508765, 'right': -0.07334990952248249, 'up': -0.06741798487215166, 'left': -0.08395825945794945}"
"(1, 0)","{'down': -0.3900882090318421, 'right': -0.3785312359757049, 'up': -0.3937231532333575, 'left': -0.4048134948858385}"
"(6, 5)","{'down': -0.18109842299954648, 'right': -0.14329055395926965, 'up': -0.1505365039115797, 'left': -0.19564576115474236}"
"(3, 5)","{'down': -0.22973471577044316, 'right': -0.21058853195720106, 'up': -0.24509699939678997, 'left': -0.2277839409161393}"
"(0, 1)","{'down': -0.41209032605797097, 'right': -0.3950171641126423, 'up': -0.3976457176061299, 'left': -0.3993980549268429}"
"(4, 6)","{'down': -0.19913728906962813, 'right': -0.20870792558184137, 'up': -0.22079054623630234, 'left': -0.20345339483325092}"
"(5, 2)","{'down': -0.06455615935094047, 'right': -0.030425026883613378, 'up': 34.379999745864744, 'left': -0.035856713945261784}"
"(6, 1)","{'down': 0.03136745240564209, 'right': 0.03139310466754039, 'up': 53.99999999961583, 'left': 0.1}"
"(3, 1)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(0, 2)","{'down': -0.41506749656381664, 'right': 4.0181500398051435, 'up': -0.40933623635485294, 'left': -0.40103884740137213}"
"(0, 6)","{'down': -0.46085654867065723, 'right': -0.4612171119353781, 'up': 0.2881493163160521, 'left': -0.4553018469834151}"
"(6, 2)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(4, 3)","{'down': -0.16310619615324418, 'right': 21.823174143488806, 'up': -0.1141838376922135, 'left': -0.14044143754543995}"
"(0, 5)","{'down': -0.44983406452266717, 'right': -0.4502627763826982, 'up': 1.014213402628461, 'left': -0.4503151968689028}"
"(3, 4)","{'down': -0.24040215112951702, 'right': 13.785842650469794, 'up': -0.2450254434374102, 'left': -0.24557150187111298}"
"(2, 4)","{'down': -0.2825686788499766, 'right': 10.927899972522509, 'up': -0.3176111044806373, 'left': -0.3018140194064838}"
