"(1, 3)","{'down': 3.1791971306876396, 'right': 5.562080000000003, 'up': 4.349616147330573, 'left': 3.3777392790154774}"
"(3, 0)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(2, 1)","{'down': 8.971999999999998, 'right': 11.340000000000002, 'up': 7.0775999999999994, 'left': 8.97199999999997}"
"(0, 3)","{'down': 2.573277977864675, 'right': 4.349664000000002, 'up': 2.603784960000002, 'left': 3.3782074754697455}"
"(4, 0)","{'down': 10, 'right': 10, 'up': 10, 'left': 10}"
"(1, 2)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(3, 3)","{'down': 5.562079998581642, 'right': 5.5620770835167175, 'up': 8.972000000000001, 'left': 5.562079812925372}"
"(4, 4)","{'down': 4.311250261754252, 'right': 4.309899187763021, 'up': 5.562078886628027, 'left': 5.329080824135073}"
"(2, 2)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(4, 1)","{'down': 14.3, 'right': 14.299999999999823, 'up': 18.0, 'left': 11.339999999999984}"
"(1, 1)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(3, 2)","{'down': 7.077599959967124, 'right': 8.971999970590204, 'up': 11.340000000000002, 'left': 8.971999999938424}"
"(0, 0)","{'down': 3.379731200000002, 'right': 5.562080000000002, 'up': 4.349664000000001, 'left': 4.3496640000000015}"
"(0, 4)","{'down': 2.310247025338364, 'right': 1.6127609645945822, 'up': 3.379731200000002, 'left': 1.4864223744000014}"
"(1, 4)","{'down': -0.9290644679304855, 'right': 4.349025636263529, 'up': 3.9459619070673426, 'left': 2.362450262084155}"
"(2, 3)","{'down': 4.349663997396928, 'right': 7.077600000000002, 'up': 5.562074747694577, 'left': 4.348226395867863}"
"(4, 2)","{'down': -1, 'right': -1, 'up': -1, 'left': -1}"
"(1, 0)","{'down': 5.562080000000003, 'right': 7.077600000000002, 'up': 5.562080000000003, 'left': 4.3496640000000015}"
"(0, 1)","{'down': 2.603784960000002, 'right': 3.379731200000002, 'up': 4.349664000000002, 'left': 3.3797312000000015}"
"(3, 1)","{'down': 8.97199999840024, 'right': 14.3, 'up': 11.34, 'left': 8.97199999999945}"
"(0, 2)","{'down': 3.162706566386708, 'right': 2.603784960000002, 'up': 3.379731200000002, 'left': 2.6037849600000014}"
"(2, 0)","{'down': 8.972000000000001, 'right': 7.077600000000002, 'up': 7.077600000000001, 'left': 5.562080000000003}"
"(4, 3)","{'down': 4.349279873212639, 'right': 5.561645668286214, 'up': 5.561754111197805, 'left': 7.077599987377729}"
"(3, 4)","{'down': 5.561152636839061, 'right': 4.342805614478669, 'up': 7.0775999997098875, 'left': 4.349622665534438}"
"(2, 4)","{'down': 4.349663993026878, 'right': 5.56205199476303, 'up': 5.5620799999999635, 'left': 3.360428448630552}"
