"(7, 3)","{'down': 5.525504746126939, 'right': 8.971999993325417, 'up': 8.972000000000001, 'left': 5.562084423965255}"
"(4, 7)","{'down': 0.7994668341010542, 'right': 0.5151843264133843, 'up': 0.6205579274849624, 'left': 0.7813887804087303}"
"(1, 3)","{'down': 3.37243497222466, 'right': 3.7243750361516295, 'up': 4.182530917010644, 'left': 4.187006200828899}"
"(6, 6)","{'down': 0.4741437001438035, 'right': 0.47870840253331204, 'up': 0.5876834386512522, 'left': 0.5217356570652677}"
"(3, 0)","{'down': 21.823200017963746, 'right': 21.823200035417685, 'up': 18.748907047129922, 'left': 14.067594568543832}"
"(2, 8)","{'down': 0.24011410912448233, 'right': 0.24734170481614345, 'up': 0.5045983463847089, 'left': 0.15069927486597265}"
"(8, 0)","{'down': 10, 'right': 10, 'up': 10, 'left': 10}"
"(7, 7)","{'down': 0.5606618421463064, 'right': 0.7433795202623921, 'up': 2.8819529601219074, 'left': 0.5053064549913258}"
"(0, 7)","{'down': 0.01757531752681911, 'right': 0.2938966169494955, 'up': 0.2020717629849949, 'left': 0.13610148689116228}"
"(4, 6)","{'down': 0.3141585603835929, 'right': 0.3739917004209292, 'up': 0.49072688640466866, 'left': 0.4850381526889175}"
"(0, 1)","{'down': 5.3522108769474634, 'right': 6.816650450264178, 'up': 8.59950224380546, 'left': 6.815009710042591}"
"(6, 2)","{'down': 34.36382987254414, 'right': 34.37999998447172, 'up': 43.1, 'left': 27.15369331139387}"
"(1, 6)","{'down': 0.11491076437758374, 'right': 0.14317416499506605, 'up': 0.06312432133094655, 'left': -0.03158639746487251}"
"(5, 1)","{'down': 26.558203263745717, 'right': 43.1, 'up': 42.7974599407851, 'left': 27.404000000000003}"
"(3, 7)","{'down': 0.44966832506152504, 'right': 0.3197492848506459, 'up': 0.5128905623275409, 'left': 0.47953209872661895}"
"(0, 3)","{'down': 3.3455628118014507, 'right': 3.2715944603931337, 'up': 5.351893363014666, 'left': 4.258107429132594}"
"(8, 5)","{'down': 4.194267080067315, 'right': 5.550091172551824, 'up': 7.077577895147382, 'left': 5.294897024341343}"
"(2, 5)","{'down': 0.23462511662352992, 'right': 0.44981858676746656, 'up': 2.5402969818069976, 'left': 0.07666552693006207}"
"(5, 8)","{'down': 1.2648179696001418, 'right': 0.5519628711212367, 'up': 1.2386170339825786, 'left': 0.7707868179329732}"
"(4, 0)","{'down': 27.404000000018133, 'right': 36.10631819182571, 'up': 21.87822328940446, 'left': 25.103147250515065}"
"(1, 2)","{'down': 3.328381210366049, 'right': 4.19582477200713, 'up': 4.184556233205844, 'left': 5.352029398532798}"
"(3, 8)","{'down': 0.28056635515281036, 'right': 0.4406211490501838, 'up': 0.3229826241913373, 'left': 0.35063207357840953}"
"(3, 1)","{'down': 16.477270996753255, 'right': 27.404000000000003, 'up': 17.3678252878002, 'left': 17.198815483200104}"
"(6, 7)","{'down': 0.40017315315513763, 'right': 0.9516356006378665, 'up': 0.43637126062531595, 'left': 0.6416952305456463}"
"(3, 3)","{'down': 3.0505419693667415, 'right': 4.180648914086871, 'up': 14.209367167894563, 'left': 3.1657236963468485}"
"(0, 6)","{'down': 2.4008965328188947, 'right': 0.10389033021699032, 'up': 2.496183620997103, 'left': 1.8969904174333285}"
"(8, 1)","{'down': 11.339999999999996, 'right': 14.29999999999985, 'up': 18.0, 'left': 13.830213417246192}"
"(7, 6)","{'down': 1.3283629381749824, 'right': 3.4154550992867736, 'up': 4.106313791029197, 'left': 1.448210640965601}"
"(4, 8)","{'down': 0.7572084918292639, 'right': 1.0693168900741026, 'up': 0.72678556583865, 'left': 0.5211385564923886}"
"(4, 4)","{'down': 0.8067182279572616, 'right': 0.7264940712052905, 'up': 0.5411621551670938, 'left': 1.706685181104731}"
"(6, 3)","{'down': 3.776350323823068, 'right': 4.710208162268206, 'up': 4.821473243835602, 'left': 5.925691891283957}"
"(1, 5)","{'down': 0.013764559752846661, 'right': 0.22083171511799732, 'up': 3.2843242447798957, 'left': 2.592906952940096}"
"(7, 2)","{'down': 8.196879167794284, 'right': 11.34, 'up': 8.982233160452882, 'left': 7.0776000310319365}"
"(3, 6)","{'down': 0.3362030074422561, 'right': 0.3526921514845423, 'up': 0.37583121123996027, 'left': 0.2399065852903614}"
"(2, 2)","{'down': 11.748523244376635, 'right': 9.706126743424221, 'up': 14.965052071141116, 'left': 4.313311648915008}"
"(3, 4)","{'down': 1.1692266146155825, 'right': 0.8104288362955474, 'up': 1.6956764196158225, 'left': 2.771500143989649}"
"(8, 6)","{'down': 2.1455761718337314, 'right': 0.8418097483760798, 'up': 5.550682567609146, 'left': 1.4517935319786603}"
"(3, 5)","{'down': 0.311643869081563, 'right': 0.4458588694015439, 'up': 1.7276357666072941, 'left': 0.2384233982724651}"
"(4, 1)","{'down': 27.40399999888723, 'right': 34.38, 'up': 21.828504910931876, 'left': 21.823200022846223}"
"(1, 1)","{'down': 6.272579781777059, 'right': 14.120570134398339, 'up': 10.604708671367366, 'left': 8.084569790617849}"
"(6, 4)","{'down': 0.7877330799850115, 'right': 0.8503342729013131, 'up': 0.7035445167752716, 'left': 0.6440425791608395}"
"(5, 6)","{'down': 0.3872857412887939, 'right': 0.5533496252623241, 'up': 0.5493906459960509, 'left': 0.3336268672037007}"
"(0, 0)","{'down': 6.837780300953811, 'right': 10.87940453994432, 'up': 8.650857934185089, 'left': 8.609270051452562}"
"(3, 2)","{'down': 6.690660695636909, 'right': 6.90258094805582, 'up': 21.697229150463116, 'left': 14.766330019937705}"
"(5, 0)","{'down': 37.08982762084713, 'right': 53.999999999996845, 'up': 43.099903852421, 'left': 27.83231252540228}"
"(7, 1)","{'down': 8.97200125282399, 'right': 14.3, 'up': 14.299998920707267, 'left': 8.972000000071688}"
"(4, 5)","{'down': 0.35584877154391453, 'right': 0.7299421620336151, 'up': 0.93613339854471, 'left': 0.4371712594800974}"
"(0, 4)","{'down': 2.5478618195799125, 'right': 3.254815125137501, 'up': 4.181516001374101, 'left': 3.2452646593129284}"
"(5, 5)","{'down': 0.4916284980200284, 'right': 0.5998581417045872, 'up': 0.5529770611611807, 'left': 0.5600449271710235}"
"(1, 4)","{'down': 2.5311933786688643, 'right': 0.17239997379494207, 'up': 3.5056844488979846, 'left': 3.15903140327989}"
"(6, 0)","{'down': 30, 'right': 30, 'up': 30, 'left': 30}"
"(7, 5)","{'down': 2.2145768753480457, 'right': 5.556815705353302, 'up': 1.4920682710367048, 'left': 0.6940595227662959}"
"(2, 3)","{'down': 1.3802738565338006, 'right': 2.9301194708890828, 'up': 1.7279205860655131, 'left': 3.6570345635125365}"
